fecha,producto,categoria,cantidad,precio_unitario,total,ciudad,metodo_pago
2024-06-28,Té helado 500ml,Bebidas,1,9.22,9.22,Tijuana,Tarjeta crédito
2024-06-25,Pantalón,Ropa,4,25.82,103.28,Tijuana,Tarjeta débito
2025-10-27,Papel higiénico 12u,Hogar,1,12.28,12.28,Ciudad de México,Efectivo
2024-03-24,Refresco cola 2L,Bebidas,1,5.93,5.93,Bogotá,Tarjeta débito
2024-12-07,Atún en lata,Alimentos,1,11.97,11.97,Ciudad de México,Tarjeta débito
2025-07-14,Aceite de oliva 500ml,Alimentos,1,4.55,4.55,León,Billetera digital
2024-08-02,Detergente 1L,Hogar,1,14.6,14.6,Mérida,Efectivo
2024-11-13,Pasta 500g,Alimentos,1,3.26,3.26,Madrid,Billetera digital
2025-03-04,Atún en lata,Alimentos,1,10.23,10.23,Monterrey,Transferencia
2024-01-19,Teclado,Tecnología,1,94.86,94.86,Sevilla,Billetera digital
2024-06-23,Café molido 250g,Alimentos,2,6.97,13.94,Sevilla,Tarjeta débito
2024-04-22,Camiseta,Ropa,1,46.97,46.97,Sevilla,Efectivo
2025-10-05,Auriculares,Tecnología,1,104.52,104.52,Guadalajara,Transferencia
2025-10-04,Power bank 10k,Tecnología,1,38.32,38.32,Puebla,Transferencia
2024-06-10,Pasta dental,Salud y belleza,1,2.84,2.84,Monterrey,Tarjeta crédito
2025-04-20,Bolsas de basura 30u,Hogar,4,15.74,62.96,Querétaro,Tarjeta crédito
2024-01-08,Jugo naranja 1L,Bebidas,1,2.84,2.84,Lima,Transferencia
2025-03-18,Gorra,Ropa,1,49.63,49.63,Medellín,Transferencia
2026-01-30,Gorra,Ropa,4,18.39,73.56,Madrid,Tarjeta crédito
2025-08-31,Shampoo 400ml,Salud y belleza,2,25.79,51.58,Tijuana,Transferencia
2024-04-05,Mouse inalámbrico,Tecnología,9,75.56,680.04,Madrid,Efectivo
2025-05-05,Power bank 10k,Tecnología,8,113.77,910.16,Madrid,Tarjeta crédito
2024-06-30,Velas aromáticas,Hogar,1,5.98,5.98,Lima,Efectivo
2024-01-07,Papel higiénico 12u,Hogar,2,13.51,27.02,Valencia,Tarjeta crédito
2024-03-25,Arroz 1kg,Alimentos,1,3.16,3.16,Monterrey,Transferencia
2025-07-01,Atún en lata,Alimentos,2,8.8,17.6,Santiago,Tarjeta débito
2025-12-09,Camiseta,Ropa,1,24.46,24.46,Lima,Tarjeta crédito
2025-01-20,Teclado,Tecnología,1,11.83,11.83,Madrid,Tarjeta crédito
2025-06-15,Bolsas de basura 30u,Hogar,2,7.96,15.92,Medellín,Efectivo
2026-01-03,Galletas,Alimentos,1,10.5,10.5,Sevilla,Tarjeta débito
2025-05-14,Cerveza 6-pack,Bebidas,9,7.97,71.73,León,Tarjeta crédito
2025-08-15,Bolsas de basura 30u,Hogar,5,9.29,46.45,Santiago,Tarjeta crédito
2025-12-27,Bolsas de basura 30u,Hogar,4,8.23,32.92,León,Transferencia
2024-04-24,Gorra,Ropa,1,60.63,60.63,Ciudad de México,Billetera digital
2024-08-24,Desodorante,Salud y belleza,1,9.19,9.19,Ciudad de México,Tarjeta débito
2024-10-04,Esponjas x3,Hogar,4,17.73,70.92,Lima,Efectivo
2025-03-17,Pasta 500g,Alimentos,6,8.67,52.02,Querétaro,Billetera digital
2024-03-15,Pasta dental,Salud y belleza,4,19.48,77.92,Monterrey,Tarjeta débito
2024-02-11,Shampoo 400ml,Salud y belleza,2,11.04,22.08,Monterrey,Billetera digital
2024-01-17,Cerveza 6-pack,Bebidas,1,5.38,5.38,Madrid,Transferencia
2025-08-10,Papel higiénico 12u,Hogar,1,1.19,1.19,Santiago,Efectivo
2024-01-27,Desodorante,Salud y belleza,6,30.84,185.04,Monterrey,Tarjeta crédito
2024-06-16,Refresco cola 2L,Bebidas,1,6.62,6.62,Guadalajara,Tarjeta crédito
2025-03-30,Velas aromáticas,Hogar,2,15.25,30.5,Madrid,Transferencia
2025-04-20,Calcetines pack,Ropa,3,36.65,109.95,Madrid,Efectivo
2024-05-09,Té helado 500ml,Bebidas,1,7.59,7.59,Puebla,Efectivo
2025-11-23,Auriculares,Tecnología,2,35.48,70.96,Medellín,Billetera digital
2024-05-28,Cable USB-C,Tecnología,4,56.97,227.88,Medellín,Tarjeta crédito
2025-11-06,Cerveza 6-pack,Bebidas,3,3.53,10.59,Guadalajara,Tarjeta crédito
2024-08-14,Jugo naranja 1L,Bebidas,7,4.45,31.15,Tijuana,Tarjeta débito
2025-10-25,Esponjas x3,Hogar,7,13.45,94.15,Lima,Tarjeta crédito
2024-10-15,Café molido 250g,Alimentos,1,7.03,7.03,Madrid,Tarjeta débito
2025-04-11,Cerveza 6-pack,Bebidas,2,1.27,2.54,León,Billetera digital
2025-05-21,Sudadera,Ropa,2,30.07,60.14,Monterrey,Transferencia
2024-06-02,Shampoo 400ml,Salud y belleza,1,13.36,13.36,Madrid,Tarjeta crédito
2024-10-22,Auriculares,Tecnología,3,63.5,190.5,Lima,Billetera digital
2025-09-07,Cable USB-C,Tecnología,1,35.6,35.6,Buenos Aires,Transferencia
2024-05-10,Detergente 1L,Hogar,1,1.04,1.04,Buenos Aires,Tarjeta crédito
2025-03-10,Papel higiénico 12u,Hogar,1,11.03,11.03,Barcelona,Efectivo
2024-10-01,Café molido 250g,Alimentos,1,9.92,9.92,Puebla,Tarjeta débito
2024-01-17,Cable USB-C,Tecnología,8,57.95,463.6,Buenos Aires,Billetera digital
2024-01-12,Café molido 250g,Alimentos,2,10.63,21.26,Medellín,Efectivo
2026-02-14,Jugo naranja 1L,Bebidas,2,7.78,15.56,Mérida,Tarjeta crédito
2025-04-29,Camiseta,Ropa,2,68.69,137.38,Sevilla,Billetera digital
2025-06-20,Jugo naranja 1L,Bebidas,6,6.75,40.5,Santiago,Tarjeta débito
2025-07-24,Agua 1.5L,Bebidas,9,9.49,85.41,Querétaro,Efectivo
2024-02-16,Refresco cola 2L,Bebidas,1,6.21,6.21,Querétaro,Tarjeta crédito
2025-02-04,Cerveza 6-pack,Bebidas,1,6.03,6.03,Barcelona,Billetera digital
2024-09-06,Calcetines pack,Ropa,1,14.04,14.04,Lima,Efectivo
2025-06-02,Cerveza 6-pack,Bebidas,1,9.3,9.3,Monterrey,Transferencia
2025-05-12,Teclado,Tecnología,1,97.08,97.08,Bogotá,Billetera digital
2024-08-10,Aceite de oliva 500ml,Alimentos,5,10.32,51.6,Sevilla,Tarjeta crédito
2025-02-05,Velas aromáticas,Hogar,2,11.96,23.92,Barcelona,Tarjeta crédito
2025-06-09,Aceite de oliva 500ml,Alimentos,2,3.68,7.36,Medellín,Tarjeta crédito
2024-07-06,Shampoo 400ml,Salud y belleza,1,31.2,31.2,Sevilla,Transferencia
2024-06-19,Cable USB-C,Tecnología,1,89.17,89.17,Guadalajara,Transferencia
2024-12-29,Pantalón,Ropa,2,65.3,130.6,Lima,Billetera digital
2025-05-30,Cable USB-C,Tecnología,4,43.7,174.8,Querétaro,Tarjeta crédito
2025-12-22,Auriculares,Tecnología,2,55.8,111.6,Lima,Tarjeta crédito
2024-04-17,Pantalón,Ropa,1,6.83,6.83,Guadalajara,Tarjeta débito
2024-06-18,Pasta dental,Salud y belleza,10,2.01,20.1,Barcelona,Billetera digital
2026-02-19,Gorra,Ropa,2,75.43,150.86,Mérida,Efectivo
2026-01-08,Esponjas x3,Hogar,1,1.16,1.16,Buenos Aires,Transferencia
2024-01-29,Bolsas de basura 30u,Hogar,3,7.83,23.49,Guadalajara,Efectivo
2024-09-01,Aceite de oliva 500ml,Alimentos,1,7.47,7.47,Puebla,Billetera digital
2026-01-17,Pasta dental,Salud y belleza,9,27.35,246.15,Medellín,Efectivo
2024-12-24,Protector solar,Salud y belleza,2,26.16,52.32,Querétaro,Efectivo
2025-11-19,Galletas,Alimentos,1,5.03,5.03,Querétaro,Efectivo
2025-10-31,Velas aromáticas,Hogar,5,13.16,65.8,Querétaro,Billetera digital
2024-10-19,Shampoo 400ml,Salud y belleza,1,2.59,2.59,Medellín,Billetera digital
2025-08-07,Teclado,Tecnología,1,51.86,51.86,Querétaro,Billetera digital
2024-05-19,Atún en lata,Alimentos,8,9.82,78.56,Madrid,Billetera digital
2025-01-14,Detergente 1L,Hogar,1,15.95,15.95,Santiago,Efectivo
2024-10-28,Refresco cola 2L,Bebidas,2,9.11,18.22,Lima,Transferencia
2024-08-13,Refresco cola 2L,Bebidas,1,9.92,9.92,Querétaro,Tarjeta débito
2025-07-24,Aceite de oliva 500ml,Alimentos,1,10.25,10.25,Puebla,Billetera digital
2024-11-05,Gorra,Ropa,2,43.45,86.9,Guadalajara,Efectivo
2024-11-25,Pantalón,Ropa,1,33.81,33.81,Buenos Aires,Tarjeta débito
2026-01-22,Refresco cola 2L,Bebidas,8,8.4,67.2,Mérida,Transferencia
2025-05-31,Café molido 250g,Alimentos,1,11.67,11.67,Santiago,Tarjeta débito
2025-11-19,Cable USB-C,Tecnología,1,74.89,74.89,Medellín,Transferencia
2026-01-22,Té helado 500ml,Bebidas,1,4.45,4.45,León,Efectivo
2025-11-20,Mouse inalámbrico,Tecnología,1,119.59,119.59,Santiago,Billetera digital
2024-01-03,Power bank 10k,Tecnología,4,33.14,132.56,Medellín,Transferencia
2024-04-29,Gorra,Ropa,3,7.61,22.83,Madrid,Tarjeta débito
2025-08-02,Té helado 500ml,Bebidas,2,1.64,3.28,Querétaro,Efectivo
2025-09-08,Atún en lata,Alimentos,1,4.15,4.15,Valencia,Efectivo
2025-06-24,Camiseta,Ropa,5,76.67,383.35,Sevilla,Tarjeta crédito
2024-11-27,Detergente 1L,Hogar,1,6.59,6.59,Mérida,Efectivo
2025-06-20,Cable USB-C,Tecnología,2,17.74,35.48,Querétaro,Transferencia
2024-05-03,Pasta 500g,Alimentos,1,4.01,4.01,Barcelona,Efectivo
2024-06-24,Café molido 250g,Alimentos,1,2.08,2.08,Guadalajara,Transferencia
2024-11-11,Sudadera,Ropa,1,72.09,72.09,León,Transferencia
2025-08-15,Aceite de oliva 500ml,Alimentos,1,10.74,10.74,León,Tarjeta crédito
2024-11-13,Detergente 1L,Hogar,2,15.02,30.04,Lima,Tarjeta débito
2025-07-21,Agua 1.5L,Bebidas,2,5.8,11.6,Medellín,Transferencia
2026-01-18,Crema hidratante,Salud y belleza,3,19.2,57.6,Valencia,Transferencia
2024-12-01,Camiseta,Ropa,2,68.79,137.58,Monterrey,Tarjeta crédito
2025-07-24,Papel higiénico 12u,Hogar,1,6.68,6.68,Querétaro,Billetera digital
2025-07-10,Protector solar,Salud y belleza,2,24.44,48.88,Sevilla,Transferencia
2024-07-09,Aceite de oliva 500ml,Alimentos,2,3.24,6.48,León,Efectivo
2024-05-12,Arroz 1kg,Alimentos,5,10.62,53.1,León,Transferencia
2024-01-31,Protector solar,Salud y belleza,4,6.25,25.0,Barcelona,Tarjeta crédito
2024-12-28,Café molido 250g,Alimentos,1,11.01,11.01,Ciudad de México,Billetera digital
2024-03-22,Pantalón,Ropa,4,67.41,269.64,Querétaro,Efectivo
2025-06-07,Auriculares,Tecnología,1,40.15,40.15,Santiago,Tarjeta débito
2024-02-15,Calcetines pack,Ropa,1,46.99,46.99,Mérida,Tarjeta crédito
2024-12-25,Sudadera,Ropa,1,52.55,52.55,Monterrey,Billetera digital
2024-12-30,Gorra,Ropa,3,13.02,39.06,Sevilla,Billetera digital
2025-02-17,Café molido 250g,Alimentos,1,5.87,5.87,Valencia,Tarjeta crédito
2025-02-15,Pasta dental,Salud y belleza,2,32.76,65.52,Santiago,Efectivo
2024-10-04,Shampoo 400ml,Salud y belleza,7,24.7,172.9,Santiago,Tarjeta crédito
2024-08-29,Papel higiénico 12u,Hogar,7,3.83,26.81,Puebla,Billetera digital
2025-06-07,Desodorante,Salud y belleza,1,21.21,21.21,Querétaro,Tarjeta crédito
2025-12-05,Bolsas de basura 30u,Hogar,1,2.27,2.27,Lima,Tarjeta débito
2024-07-28,Pasta dental,Salud y belleza,5,34.13,170.65,Valencia,Tarjeta débito
2024-10-11,Agua 1.5L,Bebidas,1,6.76,6.76,Barcelona,Tarjeta crédito
2025-01-15,Papel higiénico 12u,Hogar,1,2.12,2.12,Guadalajara,Tarjeta débito
2024-02-02,Aceite de oliva 500ml,Alimentos,1,6.48,6.48,Medellín,Billetera digital
2025-04-03,Cable USB-C,Tecnología,2,57.94,115.88,Valencia,Efectivo
2025-03-05,Atún en lata,Alimentos,1,11.4,11.4,Tijuana,Efectivo
2024-04-08,Detergente 1L,Hogar,1,3.78,3.78,Lima,Efectivo
2024-06-05,Aceite de oliva 500ml,Alimentos,1,10.27,10.27,Madrid,Transferencia
2025-11-17,Pasta dental,Salud y belleza,2,23.6,47.2,Buenos Aires,Efectivo
2025-06-22,Cerveza 6-pack,Bebidas,5,9.66,48.3,Valencia,Efectivo
2025-03-15,Sudadera,Ropa,1,75.77,75.77,Monterrey,Transferencia
2024-03-24,Café molido 250g,Alimentos,1,4.16,4.16,Mérida,Billetera digital
2025-01-21,Esponjas x3,Hogar,1,6.45,6.45,Puebla,Tarjeta crédito
2025-06-10,Esponjas x3,Hogar,3,4.41,13.23,Medellín,Transferencia
2025-06-07,Calcetines pack,Ropa,2,40.36,80.72,Mérida,Transferencia
2025-06-22,Velas aromáticas,Hogar,8,4.15,33.2,Guadalajara,Efectivo
2025-10-18,Calcetines pack,Ropa,1,16.52,16.52,Bogotá,Tarjeta crédito
2024-01-27,Atún en lata,Alimentos,5,9.42,47.1,Buenos Aires,Efectivo
2025-01-21,Pantalón,Ropa,4,27.06,108.24,Ciudad de México,Tarjeta débito
2025-06-19,Calcetines pack,Ropa,7,51.25,358.75,Guadalajara,Tarjeta débito
2025-07-11,Pasta 500g,Alimentos,1,1.21,1.21,Santiago,Efectivo
2025-03-30,Cable USB-C,Tecnología,1,84.78,84.78,Guadalajara,Billetera digital
2026-01-09,Cerveza 6-pack,Bebidas,2,2.87,5.74,Santiago,Efectivo
2025-12-26,Auriculares,Tecnología,2,38.13,76.26,Querétaro,Billetera digital
2024-12-09,Velas aromáticas,Hogar,1,17.73,17.73,Lima,Efectivo
2025-12-21,Agua 1.5L,Bebidas,1,1.47,1.47,Ciudad de México,Tarjeta débito
2024-11-15,Cable USB-C,Tecnología,1,117.17,117.17,Buenos Aires,Billetera digital
2024-06-14,Aceite de oliva 500ml,Alimentos,1,8.71,8.71,Bogotá,Transferencia
2024-04-11,Té helado 500ml,Bebidas,6,7.46,44.76,Medellín,Transferencia
2025-11-21,Agua 1.5L,Bebidas,1,3.03,3.03,Querétaro,Tarjeta crédito
2024-02-15,Mouse inalámbrico,Tecnología,1,63.88,63.88,Barcelona,Tarjeta crédito
2024-03-26,Desodorante,Salud y belleza,1,13.42,13.42,Santiago,Tarjeta crédito
2024-08-29,Gorra,Ropa,1,43.83,43.83,Medellín,Efectivo
2026-01-14,Refresco cola 2L,Bebidas,1,1.11,1.11,Santiago,Billetera digital
2024-04-25,Agua 1.5L,Bebidas,1,3.76,3.76,Tijuana,Tarjeta débito
2024-06-14,Cerveza 6-pack,Bebidas,2,7.14,14.28,Ciudad de México,Efectivo
2024-05-22,Gorra,Ropa,1,17.56,17.56,Santiago,Transferencia
2024-10-31,Pantalón,Ropa,8,14.32,114.56,Monterrey,Tarjeta crédito
2025-09-26,Velas aromáticas,Hogar,1,16.92,16.92,Valencia,Billetera digital
2024-12-24,Power bank 10k,Tecnología,2,41.47,82.94,Monterrey,Tarjeta débito
2025-12-16,Detergente 1L,Hogar,5,13.14,65.7,Barcelona,Transferencia
2024-11-13,Protector solar,Salud y belleza,4,22.2,88.8,Santiago,Tarjeta débito
2025-01-17,Gorra,Ropa,1,72.11,72.11,Mérida,Tarjeta débito
2025-01-24,Cable USB-C,Tecnología,4,58.66,234.64,Guadalajara,Tarjeta crédito
2025-05-29,Pantalón,Ropa,1,17.3,17.3,Medellín,Tarjeta débito
2024-01-14,Jugo naranja 1L,Bebidas,1,1.36,1.36,León,Efectivo
2024-03-27,Sudadera,Ropa,2,40.95,81.9,Monterrey,Efectivo
2024-08-30,Té helado 500ml,Bebidas,1,9.78,9.78,Bogotá,Tarjeta débito
2024-12-21,Desodorante,Salud y belleza,3,30.77,92.31,Monterrey,Billetera digital
2024-11-04,Crema hidratante,Salud y belleza,2,18.44,36.88,Querétaro,Tarjeta débito
2025-08-16,Protector solar,Salud y belleza,1,23.56,23.56,Lima,Billetera digital
2025-07-02,Arroz 1kg,Alimentos,10,11.73,117.3,Monterrey,Tarjeta crédito
2025-10-04,Protector solar,Salud y belleza,1,15.31,15.31,Bogotá,Tarjeta débito
2025-03-20,Calcetines pack,Ropa,1,7.3,7.3,Ciudad de México,Transferencia
2024-12-18,Protector solar,Salud y belleza,5,7.75,38.75,Medellín,Efectivo
2025-12-25,Mouse inalámbrico,Tecnología,3,91.18,273.54,Buenos Aires,Efectivo
2025-02-07,Auriculares,Tecnología,2,90.36,180.72,Guadalajara,Tarjeta débito
2025-01-16,Power bank 10k,Tecnología,9,12.49,112.41,Valencia,Transferencia
2025-11-19,Jugo naranja 1L,Bebidas,1,6.21,6.21,Querétaro,Efectivo
2024-09-06,Desodorante,Salud y belleza,3,18.06,54.18,Santiago,Transferencia
2025-07-31,Jugo naranja 1L,Bebidas,2,8.1,16.2,Sevilla,Billetera digital
2024-10-21,Aceite de oliva 500ml,Alimentos,1,7.6,7.6,León,Transferencia
2024-09-02,Aceite de oliva 500ml,Alimentos,1,5.35,5.35,Barcelona,Tarjeta débito
2025-06-13,Agua 1.5L,Bebidas,2,7.54,15.08,Guadalajara,Efectivo
2025-06-03,Cable USB-C,Tecnología,1,75.41,75.41,Madrid,Tarjeta débito
2024-10-24,Jugo naranja 1L,Bebidas,1,9.74,9.74,Lima,Tarjeta débito
2025-01-09,Cerveza 6-pack,Bebidas,1,1.44,1.44,Sevilla,Transferencia
2025-07-06,Teclado,Tecnología,1,105.52,105.52,Valencia,Tarjeta crédito
2025-09-14,Café molido 250g,Alimentos,2,7.46,14.92,Sevilla,Transferencia
2024-03-24,Refresco cola 2L,Bebidas,2,2.3,4.6,Santiago,Tarjeta crédito
2024-01-28,Aceite de oliva 500ml,Alimentos,1,8.29,8.29,Valencia,Billetera digital
2025-03-24,Pasta dental,Salud y belleza,3,6.32,18.96,Medellín,Billetera digital
2024-10-27,Arroz 1kg,Alimentos,1,3.73,3.73,Madrid,Tarjeta débito
2024-01-10,Esponjas x3,Hogar,1,3.89,3.89,Buenos Aires,Efectivo
2025-08-27,Café molido 250g,Alimentos,1,10.15,10.15,Guadalajara,Billetera digital
2024-09-13,Pantalón,Ropa,1,49.09,49.09,Santiago,Billetera digital
2025-05-27,Detergente 1L,Hogar,1,7.11,7.11,Buenos Aires,Billetera digital
2024-10-10,Cable USB-C,Tecnología,1,90.48,90.48,Bogotá,Billetera digital
2024-07-22,Protector solar,Salud y belleza,1,29.86,29.86,Puebla,Tarjeta débito
2025-07-09,Café molido 250g,Alimentos,1,10.53,10.53,Santiago,Efectivo
2025-09-11,Sudadera,Ropa,2,7.56,15.12,Querétaro,Tarjeta débito
2024-11-29,Gorra,Ropa,1,44.84,44.84,Buenos Aires,Billetera digital
2024-01-20,Arroz 1kg,Alimentos,1,8.11,8.11,Guadalajara,Tarjeta débito
2024-02-04,Desodorante,Salud y belleza,1,32.82,32.82,Valencia,Billetera digital
2024-06-09,Mouse inalámbrico,Tecnología,1,12.66,12.66,Sevilla,Tarjeta débito
2025-05-04,Bolsas de basura 30u,Hogar,1,9.16,9.16,Lima,Tarjeta débito
2024-09-07,Cable USB-C,Tecnología,1,114.6,114.6,Medellín,Billetera digital
2024-11-01,Bolsas de basura 30u,Hogar,9,10.86,97.74,Sevilla,Billetera digital
2024-07-02,Cable USB-C,Tecnología,1,62.75,62.75,Medellín,Transferencia
2025-03-03,Aceite de oliva 500ml,Alimentos,2,2.56,5.12,Lima,Tarjeta crédito
2025-09-29,Cable USB-C,Tecnología,1,86.92,86.92,Medellín,Tarjeta crédito
2026-01-15,Calcetines pack,Ropa,3,17.18,51.54,Bogotá,Billetera digital
2024-12-06,Pantalón,Ropa,1,55.45,55.45,Guadalajara,Billetera digital
2024-12-17,Mouse inalámbrico,Tecnología,1,115.89,115.89,Sevilla,Billetera digital
2024-06-23,Mouse inalámbrico,Tecnología,2,101.87,203.74,León,Tarjeta crédito
2024-08-05,Camiseta,Ropa,1,6.31,6.31,Tijuana,Tarjeta crédito
2024-05-24,Teclado,Tecnología,4,104.84,419.36,Madrid,Tarjeta débito
2025-08-10,Mouse inalámbrico,Tecnología,1,97.1,97.1,Madrid,Billetera digital
2024-01-01,Calcetines pack,Ropa,1,54.42,54.42,Guadalajara,Tarjeta débito
2024-02-22,Pantalón,Ropa,2,48.29,96.58,Lima,Transferencia
2024-08-07,Calcetines pack,Ropa,1,50.37,50.37,Lima,Tarjeta débito
2025-07-28,Cable USB-C,Tecnología,9,53.57,482.13,Lima,Billetera digital
